count	token	vocab	dist	context
196	일감	일간	1	몸에 받는 기운인데요뿐만 아니라 돈벌 기회와 일감도 정신없이 쏟아진다고 합니다 원숭이 쥐 용띠 
187	강사	상사	1	얼굴이 눈에 들어오지 않아. 그래서 이분들은 강사나 선생님 같은 교육 계열에 오히려 좋아요. 이
186	이사	기사	1	두칠성 강을 써서 북두칠성의 으뜸별을 의미해 이사를 가진 사람들은 대장의 기운을 타고 나서 누구
178	절기	절지	1	이렇게 태양의 움직임에 따라 1년을 24개의 절기로 나눈게 절개력이야. 이 24절기의 첫 번째가
176	전화	정화	1	 오히려 그렇게 했다라는 거야. >> 그래서 전화가 없는 거 보니까 잘 지내고 있는 거지. >>
174	도와	도화	1	음 법 가만있어도 이성을 올리는 도화살 이런 도와 사례도 종류가 있다는 사실 알고 계셨나요 종
167	잊지	일지	1	버는 것만큼 모으는 것도 중요하다는 거 절대 잊지 마. 내가 가진 다른 궁금하다면 댓글로 꼭 
167	배운	대운	1	약 좋아하는 사람한테 내가 먼저 고백했다 면 배운 시기엔 반대로 많은 이성에게 고백을 받게 되
166	주지	지지	1	은 왕자님이고 아니면은 뭐 나랑 같이 야반도 주지 뭐. He. 
166	운에	운세	1	을 때는 주시는 것도 저는 괜찮아요. 이거는 운에 들어와 있는 분이 있기 때문에 그런 것들 한
165	일시	일지	1	단번에 안다고 해요 두 번째 카톡 먼저 끊기 일시 혹은 아닐 씹을 말하는게 아니에요 건강하게 
163	적인	정인	1	관도 사람을 보는 부분에 있어 가지고 너무 F적인 감성이 아니라 약간은 t 그리고 J 같은 느
162	귀신	기신	1	제일 많이 공부를 해야 돼. 모르는 사람들이 귀신이 씌었는지를 몰라. 왜냐면은 내가 행동을 하다
157	지키	지지	1	게 사는 걸 즐기는 사람들이야. >> 루틴을 지키고 주변을 정리하는 것에서 히어를 느끼지. 어때
154	싶지	시지	1	 같아. 그 7번은 늘 힘든게 뭐냐면 나서고 싶지 않은데 어떻게 하다 보면 이렇게 앞에서 있는
151	사기	사지	1	무시무시한 살이야. 돼지띠들은이 중에서 특히 사기로 인한 재산 손실을 주의해야 해. 안 >> 돼
150	원인	원진	1	기가 참 어려워요. 동양 철학은 모든 문제의 원인을 어디서 찾습니까? 나한테서 찾죠. 그래서 제
150	상생	장생	1	잘 다니는 거고 아무래도 좀 관이 있고 관인 상생이 되고 식신생재가 제대로 되고 이러면은 아무래
146	편지	년지	1	주기. 첫띠 이건 내가 만든 거야. 직접 쓴 편지와 정성이 가득한 선물하기. 호랑이띠. 너는 정
143	진로	진토	1	을까를 좀 고민해 보시면서 사업이든 취업이든 진로든 그쪽으로 들어보시는 것도 괜찮고 이번 달부터
142	자시	자식	1	 생시별 특징 바로 알려 줄게. 밤, 해시, 자시, 축시. 행동하기 전에 생각하는 시간이 더 
140	인자	임자	1	리에요 하지만 때가 올 때까지 나서지 않고 2인자의 위치에서 자신의 힘을 꽁꽁 숨기고 있다가 적
139	빠지	사지	1	하게 이제 딜이 이게 약해져요. 그래서 치고 빠지는 걸 잘해야 돼요. 울고 늘어지는 힘이 아니기
136	수술	무술	1	사람을 만나게 된다고 해요이 큰 병에 걸려서 수술을 받다가 죽는 꿈 큰일이 성사됨을 암시합니다 
133	계산	계사	1	끼는게 더 중요해. 아는 물건 톡톡 집어넣고 계산 찍. 
131	사진	사지	1	가까워. SNS에 생각 없이 오렸던 [음악] 사진이나 영상이 관심을 받거나 중요한 발표나 면접이 
129	강합	궁합	1	대 일주 지지에 축이 있는 식으로 맞는게 더 강합니다. 자, 육합은 특히나 서로를 변화시키는 작용
128	완성	인성	1	  8월에 가만히 있으면 거짓되는 때. 완성이 때 쥐대 용대는 8월에 밖으로 나가지 않으면
127	신살	신사	1	면 프로필 링크에 포스텔러 만세력을 눌러봐. 신살과 길성에서 쉽게 알 수 있어. 다른 살도 궁금
127	명이	명리	1	 지체되면 우리 부족이 다 죽어요. 근데 한 명이 다리를 다쳤어. 그럼 이제 겁재 낭랑하고 식
126	편이	편인	1	애교 많고 형님이 하라는 거 되게 잘 따르는 편이잖아요. 나보다 형이다. 말 잘 들어야지 이게 있는
125	일부	일주	1	노마이트를 잔잔한 호수에 떨어뜨려서 폭발하게 일부 짓던 느낌이에요. 폭발하면 어떻게 됐어요? 
124	자세	자수	1	 친구는 아 보기와는 굉장히 다르다. 이만은 자세가 다르네. 이렇게 되는 거죠. 그리고 유혜진 
124	양은	양인	1	이리저리 떠돌아다니며 새로운 것에 도전하지만 양은 자신의 자리를 지키는 것을 좋아해. 그래서 
123	시키	시지	1	 안 만날 겁니다. 엄마 말 잘 듣고 엄마가 시키는 대로 다 하는 착한 아들. >> 이분이 자유
121	신자	신사	1	살을 보는 부분 말씀드리면 제가 여러분들에게 신자 지 앰 용이 인 오 술 4 6주 이 4가지 
121	술도	술토	1	식이야. 그리고 보통은 조직생활 어떤 인간의 술도 필요하잖아요. 그러니까 관인상생을 얘기하는 
119	신호	신해	1	  대운이 올 때에 그 나타나는 징조와 신호가 있을까요 첫 번째로는 뭐 좀 전에 말씀드린 
116	관찰	관살	1	 이게 사람 인간관계가 쌓이는구나 요런 거를 관찰을 해 가지고 야무지게 적용을 해요 그러다 보니
114	연관	편관	1	러분 그럼이 두 살이 필연적으로 리더십 하고 연관이 되겠죠 근데요 리더가 아무나 하는 거 아니죠
113	화해	화개	1	유지해서 비슷하게 하시면 됩니다. 근데 양해 화해 음행화로 바뀌는 식이기 때문에 내가 하는 것
113	더운	대운	1	저는 어떤 느낌이냐면은 대구 있죠? 그 정말 더운 대구에 꽃이 펴놨는데 비가 안 오고 있는 그
112	기가	기사	1	  기존 3 라 인지 확인하는 방법 진짜 기가 센 사람과 기 센 척하는 사람 사주의 성 타
112	계기	계미	1	고통스러운 상황이 있었을 텐데요. 이게 어떤 계기를 통해서 한 방에 무너지게 되고 종결이 됩니다
111	평화	병화	1	 좋을 거 같아요. 이 토의 기운이 [음악] 평화와 안정이기 때문에 내가 마음이 좀 불안하고 흔
111	세우	세운	1	 팀과 함께 하려는 기집, 내 [음악] 뜻을 세우고 동료를 모으는 힘 이런 거라고 말씀드렸을 거
111	상상	상사	1	구 경환. 병화는 이미 그 사람과의 결혼식을 상상 중이래. 어때? 맞는 것 같아? 프로페에서 
110	조화	도화	1	로바로 태극 기니야 사주에서 태극이란 음향의 조화를 이루는 상태를 말해 만물의 시작과 끝을 의미
110	손금	신금	1	  손금으로 보는 연애 스탈 1 돌직구 실속파 마음을 못
107	화수	해수	1	 편하게 물어봐 주세요. 다음 화수목금 궁금 화수 화수토 궁금하신 분들은 계속 영상 시청해 주
106	신이	신미	1	하는 분야. 전문 분야 [음악] 얘기를 하면 신이 난다는 거죠. 뭐 이렇게 꿍꿍이가 있거나 의
104	손해	신해	1	맞는 걸 극혐한다고 해요 억지로 납득시키거나 손해 볼 것을 강요하면 금방 너 죽고 나 죽자고 
103	비해	기해	1	 사실 몸이 약합니다. 몸이 약하다는게 뭐에 비해 약하다? 내 계획. 내 목표에 비해 내 몸이
102	소화	도화	1	 문제가 있어야 되거든요. 보통 말라요. 데 소화 기간에도 좀 문제가 있고요. 과미성 대장이나
102	비유	기유	1	운이 많은 사주는 물상문에서 애정 그 자체에 비유예요 기본적으로 애정표현이 많고 열정적인 데다 상
99	개미	계미	1	람들도 인정하는 문제 없는 사람. 근데 이제 개미랑 임술은 어떤 위치가 주어졌을 때 [음악] 자
98	마주	사주	1	오는데요. 내려놓게 되었을 때 비로소 진실을 마주하고 내면의 깊은 곳에 치유가 시작될 거예요. 곧
98	다수	자수	1	가 대인관계 반전이 좀 많은 편이에요. 이게 다수가 보기에 되게 좀 편안하고 친근한 스타일이거든
97	재산	재살	1	어와서이 여섯 가지를 주의해야 한는데 질병, 재산, 탕진, 가난, 형벌, 이별, 사망이라니 무
96	형상	형살	1	 다시 할까요? 하면 >> 네. >> 여자의 형상이 이렇게 그림자처럼 뜰 수 있고요. 그런데 보
96	인지	일지	1	  기존 3 라 인지 확인하는 방법 진짜 기가 센 사람과 기 센 
96	알지	월지	1	호가 제일 [음악] 못 참는 거 나 너무 잘 알지. 멍청할 거 너무 화가나 저 멍청이들을 내가
96	대우	대운	1	정하는 기운이기 때문에 어떤보다 중요하겠지? 대우는 지금까지 하는 다른 삶을 살게 되는 인생의 
92	재정	재성	1	못한 곳에서 수익이 발생해. 하반기로 갈수록 재정 상태가 안정돼서 연말에는 여의사금으로 여행까
91	화로	화토	1	 쯤에는 같은 화는 화인데 양해 화에서 음의 화로 넘어가는 시기라 볼 수도 있거든요. 그런데 
91	이겁	비겁	1	절을 반영해서 내사주의 오행을 보는 것이다. 이겁니다. 
88	일반	일간	1	 은근디 영화 보면은 그 생존 기지에 수많은 일반 노동자가 있죠. 그냥 뭐 이렇게 뒤에 돌아다
88	신장	신강	1	에 해당이 되는 장부를 신 방광으로 보는데요 신장하고 방광은 곧 생식기에 해당이 됩니다 다오 묘유
88	사과	사화	1	말아 만든 롤케이크나 사랑과 애정을 의미하는 사과를 사용한 디저트가 애정운을 올려줄 거예요 여러
87	정치	정미	1	하는 특성이 합쳐지면 일도 잘하면서 직장 내 정치에 도능한 사회생활 말렙이 탐생한다고. 내가 한
87	인수	임수	1	밀히 따지면 불의 기운인 정화와 불의 기운인 인수가 만나면 생명의 해당하는 목을 만들어 낸다 그
87	뭐지	묘지	1	 착착착착 이렇게 하는 거란 말이에요. 이게 뭐지? 약간 간지러운가? 뭐지? 이게 요런 수준이
85	주목	수목	1	 일간이 토이고 술을 재성으로 가진 사람들은 주목. 오늘은이 사람들이 돈을 어떻게 하면 벌 수
84	정하	정사	1	되고 언제 시간을 함께 보낼 수 있는지 미리 정하는 것도 도움이 된다고 합니다 정해진 시간에 대
84	사시	사지	1	크거든요 그래서이 비뚤어진 수레바퀴를 가지고 사시는 분들 오행에 치우 치신 분들은 삶에서이 부분
82	인신	임신	1	 거 다 깡그리 무시하고 사주팔자 영마뜻하는 인신 사회가 많거나 또는 일주칸에 위 아래 색깔이
82	병이	병오	1	나는 별이라는 뜻이야. 말 그대로 나에게 큰 병이 왔을 때 하늘의 의사를 만난 것처럼 치유될 
80	메인	무인	1	에 있기는 한데 어느 정도 수평적인 분위기고 메인 플레이가 가능한 조직 있죠 그런 곳에 있으면
80	가수	자수	1	 씨가 그 유명한 일화가 있잖아요. 엄마 나 가수하고 싶어 했는데 안 돼라고 해서 어떻게 해야 가
78	미터	미토	1	편이에요. 그래서 사람들한테 물어보면 어 나 미터하고 친해다 그 양하고 친해요. 이렇게 말하는 사
77	인상	인성	1	 있는 사람들은 보통 눈을심이 예쁘고 따뜻한 인상을 가진 민남 미녀가 [음악] 많아. 이성이 꼴
77	살지	사지	1	내력도 좋고 원만한 편이라서 다들 조용히 좀 살지. 평화롭게 살자. 어우 지겨워. 이러고 이제
76	모토	미토	1	사람 안 맞고 가는 사람 안 잡는다가 연애의 모토예요 구속되는 것을 몹시 싫어해서 연락을 끊고 잠
76	개성	재성	1	르는 별자리 top3 3위 물병자리 평소에도 개성이 강해 독특한 발언을 잘하는 물병자리인데요 예
75	일만	일간	1	9월에는 쌓였던 일들을 빠르게 치우고 대박날 일만 남았다고 하니 오히려 좋은 기회라고. 육해살
75	이지	지지	1	보시면 좋을 것 같아요. 세 번째 갑작스러운 이지, 퇴사 같은 이슈가 있을 수 있으면 당황하지
74	이수	임수	1	긴 할 거예요. 그래도이 시리즈 이름이 자미 이수잖아요. 재밌는 자민 조수 얘기를 하는데 오늘도 사
74	성형	상형	1	  소화 수의 성형이 완전 정반되기 때문에 서로 생각하는 거는 진
73	인복	인목	1	> 천주 귀인의 장점 하나 더. 이 사람들은 인복도 훌륭하다고 해. 평소에 넘치는 복을 주변 사
73	묘미	묘지	1	찮아. 원래 이게 라디오죠. 그죠? 팟캐스트 묘미. 음. 어 저는 s O ry 쏘리 쏘리. 왜
72	수화	사화	1	거나 목이 강하신 분들 같은 경우에는. 근데 수화 목이 강할수록 질러 이거는 조금 고민하시는게
71	터지	태지	1	  가장 힘든 시기에 돈뻑 터지는 사주. 송혜교 안성제 장도연에게도 있다는 [
70	진도	진토	1	  수다자 성욕이 많다고 하는데 스킨십 진도는 제일 약한 이유가 뭘까요 원래 수는 생각만 
70	정자	정사	1	만 싶다. 근데 저는 사실 어떻게 보면 우면 정자에서 그렇게 많이 화제가 됐던 편은 아니니까 다른
70	역사	역마	1	예 맛다 막 이러면서 잘 마시는데 이게 뭔가 역사를 공유받는 느낌이 있잖아요 나도 이런 사회적으
70	말자	팔자	1	. 근데 머리로만 생각하다 보면은 에이 하지 말자. 아 상상만 해도 피곤하다. 어차피 안 될 
69	장사	정사	1	니다 뱀이 돼지로 변하는 꿈 횡재수가 있어서 장사를 한다면 시기가 맞아 떼돈을 벌게 될 수 있어
69	따지	사지	1	리가 좋아 싸울 때도 논리와 팩트로 하나하나 따지는 스타일이라 상대방에겐 이만큼 곤혹스러운 상대
68	식사	신사	1	고프다고 화를 낸다거나 우리집 거실에서 혼자 식사를 하고 계신다거나 그리고 이제 그런 꿈은 진짜
68	나지	사지	1	기 일에도 마찬가지예요. 이런 걸로 막 화가 나지만 나이가 들면 약간 그 티들이 [음악] 공감을
67	일가	일간	1	 이야기하면 검수 상관격에 해당이 되겠는데요 일가 금이고 월지가 이제 상관이나 아니면 이제 일
67	명리적	명리학	2	달이다. 줍는 달리라 볼 수 있거든요. 이게 명리적으로 봤을 때 지금은 시장 조사하는 단계. 남들이
66	개운	대운	1	합니다. 그래서 이제 베스트도 보시고 먹어서 개운도 하시고 이렇게 하시면 되겠습니다. 
65	신의	신유	1	 말씀드렸으니까 한번 참고해 주시고요. 신사 신의 신미일주분들 좀 말씀드리고 싶어요. 우선 신
65	식당	식상	1	하지만 같은 시기에 [음악] 미슐랭 쓰리스타 식당에 오픈 멤버가 될 수 있는 기회를 얻어냈다고.
65	내지	태지	1	맘 하고 신청한 사람이라 도와줄 때도 생색을 내지 않는 사람이다 이 사람은 분양 하게 물질적으
64	공항	공망	1	 아니면 마음 컨트롤하기 힘든 거에요 그래서 공항 사회가 볼 수도 있고요 또는 너무 심한 사주
63	이신	기신	1	맞는 신발이 편관에 오랫동안 방치되면 귀신이 이신 져 신 신어보면 온다고 합니다 특히 중요한 
62	임무	임수	1	다.  하지만 일반적으로 경신은 자신이 맡은 임무를 완수해야 한다는 개인적인 기준을 가지고 있다
62	관상	관살	1	개 일본인? >> 백재개 [웃음] >> 얼굴 관상에서 나오나봐. >> 오키나와는 안가 보셨어요? 
61	운성	인성	1	  12운성 중에서 장생고 제왕이라는게 있는데요 도화는 
61	미술	무술	1	 없는 거야 형사는 인신사해 자오 묘유 축진 미술 이렇게 같은 파벌의 기운을 가진 애들끼리 묶
61	문신	무신	1	동안 [콧방귀] 어 학원 강사를 했는데 몸에 문신이 많아요. [웃음] 근데 [헉 소리] 어 뭐 
61	무대	무재	1	멤버들이 뭘 열심히 준비하면이 사람이 보여줄 무대로 이끌어 주는 그런 역할을 하는 거예요. 여기
60	색상	식상	1	 잘 풀리고 좋은 직장을 구할 수 있대요 1 색상은 블랙 앤 화이트 편관이 위치한 지옥과 인생의
60	사수	사주	1	가 정말 가고 싶었던 데가 있었어. 근데 내 사수가 그걸 도와주지 않았어. 그 흐름이 시대가 날
59	신기	신미	1	  신께 나도 있는지 확인하는 법 신기 란 보통 사람에게 보이지 않는 귀신이나 초자
59	사와	사화	1	자와 능통하게 맞지 않는 글자입니다 진토 와 사와 에듀 악을 컬러 지망 이라고도 하는데요 천라
59	배우기	배우자	2	돼요. 잘 어울리는 언어라고 하면 여러분들이 배우기 쉽거나이 언어를 하면 잘 활용할 수 있는 언
59	기지	지지	1	해 주니까 내가 너무 기절인 거야. 고정적인 기지를 갖고 있어서 변화가 많거나 변화를 강제적으로
59	개해	계해	1	고 나와서 시청자들의 도파민을 책임질 거야. 개해, 병인. X 때문에 24시간 눈물을 흘리는 
58	형사	형살	1	래서 어디 갇힌 것처럼 나갈 수가 없는 거야 형사는 인신사해 자오 묘유 축진 미술 이렇게 같은 
58	신랑	신강	1	 해 보도록 할게요. 따라란 을축일주입니다. 신랑의 갑술. 오, 갑술. 건강운이 궁금합니다. 아
58	사조	사주	1	른 시간대에 태어나신 분들은 태어난 계절이나 사조 오행이 시간하고 상반되면 그 기운이 잘 눈에
58	미신	기신	1	이제 과학하면은 이성적이고 데이터 기반적이고 미신 이런 건 안 믿을 것 같고 그런 이미지가 있
58	경제	형제	1	예술적인 감수성이 높아 예술 분야에서도 높은 경제에 다다를 수 있다고 하니 참고하시면 좋겠죠 귀
57	토금수	토극수	1	은 일간 궁합이라고 볼 수 있고요. 제노시는 토금수가 발달되어 있죠. >> 어 보이는 거 같아요.
57	주인	무인	1	 이제 물을 이렇게 들였어요. [음악] 한 2주인가 갑자기 손님들이 뚝뚝 끊기는 거예요. 예약 
57	재생	재성	1	제 이렇게 되면 여기도 말릴 사람이 없어요. 재생과 뭘로 말릴 건데요? 여기는 심지어 머리라도 
57	장관	정관	1	도 만날 수 있는 거예요 왠지 아세요 여기지 장관 한번 볼게요 어제 영상 많이 보시는 분들은 
56	잃지	일지	1	앞에 있는 성공이 달아나 버린다고. 페이스를 잃지 않고 하던 대로 열심히 해 나가면 곧 원하는
56	경호	경오	1	잡돌이하는 스타일. 1위는 바로 경오 일주. 경호는 기동성까지 있어서 따라다니면서 잡돌리해. >
55	지니	지지	1	 타고 나서 누구도 막을 수 없는 강한 힘을 지니고 있어. 힘든 일이 있어도 스스로의 힘으로 다
55	성인	정인	1	로가 서로를 인간 만들어 주려고 만나는 살신 성인의 현장을 우리가 보게 됩니다 나에게 극딜을 박
